Marker,Sample Name,Lysate,Library,ReadsRaw,ReadsL35,ReadsMapped,ReadsDeduped,%Hominin,UniqueHominin,DuplicationRate,5CT,3CT,5CT_95CI,3CT_95CI,Ancient,ReadsDeam,H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D_support,D_support_deam,S_support,S_support_deam,D-S_support,D-S_support_deam
M219 ,SP.A.7710,Lys.A.1494,Lib.G.735,1954890,1272671,459137,36049,7.33,305,1.73,32.1,27.6,22.4-43.2,18.5-38.2,Yes,79,**47.4% (9 / 19),50.0% (1 / 2),**60.0% (12 / 20),**66.7% (4 / 6),**50.0% (4 / 8),NA% (0 / 0),0.0% (0 / 23),0.0% (0 / 5),1.7% (1 / 59),0.0% (0 / 17),0.0% (0 / 54),0.0% (0 / 15),2.9% (2 / 68),0.0% (0 / 17)
M219 ,SP.A.7710,Lys.A.1494,Lib.G.2771,3691040,2805482,930381,33425,12.82,362,2.86,41.2,25.9,30.4-52.8,16.8-36.9,Yes,66,**44.8% (13 / 29),0.0% (0 / 4),**56.7% (17 / 30),**80.0% (4 / 5),**40.0% (6 / 15),**50.0% (3 / 6),0.0% (0 / 27),0.0% (0 / 5),1.3% (1 / 79),5.9% (1 / 17),0.0% (0 / 56),0.0% (0 / 10),2.2% (2 / 92),4.8% (1 / 21)
M218 ,SP.A.7709,Lys.A.1493,Lib.G.730,1560187,988965,347466,32034,4.4,181,2.22,46.3,32.4,30.7-62.6,18.0-49.8,Yes,41,**90.9% (10 / 11),**75.0% (3 / 4),14.3% (2 / 14),0.0% (0 / 2),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 19),0.0% (0 / 4),11.4% (4 / 35),0.0% (0 / 4),0.0% (0 / 25),0.0% (0 / 6),6.7% (2 / 30),0.0% (0 / 6)
M217 ,SP.A.7708,Lys.A.1492,Lib.G.729,197186,33674,6247,4455,25.71,45,1.02,0,0,0.0-70.8,0.0-20.6,No,0,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0)
M217 ,SP.A.7708,Lys.A.1492,Lib.G.729,1502968,984042,340456,33535,11.69,528,1.62,6.7,5.6,2.5-14.1,2.3-11.2,No,27,**95.7% (45 / 47),100.0% (1 / 1),0.0% (0 / 35),0.0% (0 / 1),2.4% (1 / 41),0.0% (0 / 1),0.0% (0 / 34),NA% (0 / 0),1.0% (1 / 97),0.0% (0 / 8),0.0% (0 / 78),0.0% (0 / 2),1.7% (2 / 119),0.0% (0 / 5)
M216 ,SP.A.7707,Lys.A.1491,Lib.G.728,196626,33290,6831,4680,12.3,15,1.07,40,66.7,5.3-85.3,9.4-99.2,No,4,NA% (0 / 0),NA% (0 / 0),66.7% (2 / 3),NA% (0 / 0),50.0% (1 / 2),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 6),0.0% (0 / 1)
M216 ,SP.A.7707,Lys.A.1491,Lib.G.728,1949302,1267307,461171,36978,6.08,247,1.91,39.7,16.7,27.0-53.4,9.2-26.8,No,49,**100.0% (12 / 12),**100.0% (3 / 3),7.4% (2 / 27),0.0% (0 / 3),0.0% (0 / 25),0.0% (0 / 6),0.0% (0 / 20),0.0% (0 / 6),2.0% (1 / 50),0.0% (0 / 11),6.2% (2 / 32),0.0% (0 / 6),0.0% (0 / 51),0.0% (0 / 12)
M215 ,SP.A.7706,Lys.A.1490,Lib.G.727,1170105,772089,264057,30766,8.46,315,1.83,31.7,14.9,21.9-42.9,8.2-24.2,No,61,**87.5% (21 / 24),**57.1% (4 / 7),8.0% (2 / 25),0.0% (0 / 3),12.5% (2 / 16),0.0% (0 / 2),0.0% (0 / 25),0.0% (0 / 5),9.1% (6 / 66),11.1% (2 / 18),2.9% (1 / 34),0.0% (0 / 9),13.3% (8 / 60),18.2% (2 / 11)
M214 ,SP.A.7705,Lys.A.1489,Lib.G.726,1546464,970380,342711,31057,15.88,611,3.08,33.3,22.8,26.3-41.0,16.3-30.4,Yes,133,**100.0% (57 / 57),**100.0% (11 / 11),0.0% (0 / 46),0.0% (0 / 14),2.5% (1 / 40),8.3% (1 / 12),1.7% (1 / 59),0.0% (0 / 11),0.0% (0 / 110),0.0% (0 / 25),0.0% (0 / 86),0.0% (0 / 20),4.1% (6 / 147),9.4% (3 / 32)
M213 ,SP.A.7704,Lys.A.1488,Lib.G.725,1904798,1162073,420210,31617,13.04,452,4.45,23.1,14.7,15.6-32.2,9.1-22.0,No,61,**100.0% (46 / 46),**100.0% (6 / 6),2.0% (1 / 51),0.0% (0 / 6),0.0% (0 / 22),0.0% (0 / 5),0.0% (0 / 33),0.0% (0 / 4),0.0% (0 / 94),0.0% (0 / 14),0.0% (0 / 55),0.0% (0 / 8),1.0% (1 / 102),0.0% (0 / 15)
M212 ,SP.A.7703,Lys.A.1487,Lib.G.724,1590008,1063845,355652,38646,2.81,144,1.45,32.5,22.9,18.6-49.1,10.4-40.1,Yes,33,22.2% (2 / 9),0.0% (0 / 1),**66.7% (6 / 9),**100.0% (3 / 3),**41.7% (5 / 12),**60.0% (3 / 5),0.0% (0 / 17),0.0% (0 / 3),6.9% (2 / 29),0.0% (0 / 5),0.0% (0 / 20),0.0% (0 / 4),5.4% (2 / 37),0.0% (0 / 4)
M211 ,SP.A.7702,Lys.A.1486,Lib.G.723,1714828,1140491,382259,37372,4.16,213,1.76,33.3,24.5,20.4-48.4,13.8-38.3,Yes,40,**44.4% (8 / 18),0.0% (0 / 5),**50.0% (8 / 16),NA% (0 / 0),18.2% (2 / 11),0.0% (0 / 1),0.0% (0 / 17),0.0% (0 / 5),8.1% (3 / 37),27.3% (3 / 11),0.0% (0 / 21),0.0% (0 / 6),5.4% (2 / 37),0.0% (0 / 11)
M211 ,SP.A.7702,Lys.A.1486,Lib.G.2770,2718415,2190576,585185,33437,7.67,261,2.56,28.1,16.9,17.6-40.8,8.8-28.3,No,44,**44.4% (12 / 27),0.0% (0 / 4),**38.7% (12 / 31),100.0% (2 / 2),17.6% (3 / 17),100.0% (1 / 1),0.0% (0 / 22),0.0% (0 / 6),4.8% (3 / 62),10.0% (1 / 10),0.0% (0 / 45),0.0% (0 / 6),4.6% (3 / 65),9.1% (1 / 11)
M211 ,SP.A.7702,Lys.B.595,Lib.G.5393,3279581,2607232,712388,42591,7.23,354,1.6,39.8,21.7,29.5-50.8,13.8-31.6,Yes,88,**29.4% (5 / 17),28.6% (2 / 7),**41.2% (14 / 34),30.8% (4 / 13),**58.3% (14 / 24),**57.1% (4 / 7),0.0% (0 / 38),0.0% (0 / 15),**29.6% (24 / 81),30.8% (4 / 13),0.0% (0 / 45),0.0% (0 / 16),**31.9% (23 / 72),30.0% (3 / 10)
M211 ,SP.A.7702,Lys.B.596,Lib.G.5394,4807272,3834818,1032056,44883,4.63,219,1.6,47.5,29.1,34.6-60.7,17.6-42.9,Yes,62,18.2% (2 / 11),0.0% (0 / 3),**63.6% (14 / 22),100.0% (2 / 2),**100.0% (9 / 9),100.0% (1 / 1),11.1% (1 / 9),100.0% (1 / 1),7.9% (3 / 38),16.7% (2 / 12),0.0% (0 / 32),0.0% (0 / 8),7.7% (4 / 52),22.2% (4 / 18)
M211 ,SP.A.7702,Lys.B.597,Lib.G.5395,3164076,2460436,699176,39748,11.22,571,2.01,16.5,12.3,10.7-24.0,7.3-19.0,No,55,**80.8% (42 / 52),0.0% (0 / 1),**25.0% (12 / 48),100.0% (2 / 2),22.7% (5 / 22),33.3% (1 / 3),0.0% (0 / 43),0.0% (0 / 2),1.7% (2 / 116),0.0% (0 / 7),0.0% (0 / 81),0.0% (0 / 5),2.0% (3 / 150),13.3% (2 / 15)
M211 ,SP.A.7702,Lys.B.598,Lib.G.5396,1573249,1218439,347553,34451,1.18,52,1.44,60,45.5,14.7-94.7,16.7-76.6,Yes,16,100.0% (1 / 1),NA% (0 / 0),33.3% (1 / 3),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),25.0% (1 / 4),50.0% (1 / 2)
M211 ,SP.A.7702,Lys.B.599,Lib.G.5397,1264584,943861,252775,30083,3.7,119,1.5,36.4,32,17.2-59.3,14.9-53.5,Yes,24,0.0% (0 / 6),NA% (0 / 0),**60.0% (6 / 10),0.0% (0 / 1),**66.7% (4 / 6),100.0% (1 / 1),0.0% (0 / 6),0.0% (0 / 2),5.0% (1 / 20),0.0% (0 / 4),0.0% (0 / 16),0.0% (0 / 1),13.6% (3 / 22),20.0% (1 / 5)
M210 ,SP.A.7701,Lys.A.1485,Lib.G.722,1575156,977729,338865,29902,6.98,238,3.32,32.8,36.2,21.6-45.7,24.0-49.9,Yes,58,15.4% (2 / 13),0.0% (0 / 1),**50.0% (7 / 14),100.0% (2 / 2),**57.1% (4 / 7),100.0% (1 / 1),0.0% (0 / 13),0.0% (0 / 1),4.4% (2 / 45),0.0% (0 / 8),2.9% (1 / 35),8.3% (1 / 12),4.7% (2 / 43),0.0% (0 / 12)
M210 ,SP.A.7701,Lys.B.589,Lib.G.5384,982379,703926,166139,24919,6.99,168,1.64,38.5,26.5,23.4-55.4,14.9-41.1,Yes,37,**71.4% (5 / 7),0.0% (0 / 1),42.9% (3 / 7),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 17),0.0% (0 / 6),3.6% (1 / 28),0.0% (0 / 1),0.0% (0 / 23),0.0% (0 / 5),2.7% (1 / 37),0.0% (0 / 8)
M210 ,SP.A.7701,Lys.B.590,Lib.G.5385,2974043,2259935,596427,38317,13.41,667,1.78,43.9,32.3,36.0-52.1,25.2-40.1,Yes,169,12.2% (5 / 41),11.1% (1 / 9),**86.7% (39 / 45),**81.8% (9 / 11),**88.5% (23 / 26),**100.0% (6 / 6),1.9% (1 / 53),0.0% (0 / 11),3.1% (4 / 128),0.0% (0 / 37),1.2% (1 / 86),0.0% (0 / 23),1.7% (3 / 175),2.1% (1 / 48)
M210 ,SP.A.7701,Lys.B.592,Lib.G.5387,1022452,770450,196536,27053,6.98,139,1.66,43.3,35.5,25.5-62.6,19.2-54.6,Yes,33,**41.7% (5 / 12),0.0% (0 / 2),**41.7% (5 / 12),100.0% (1 / 1),40.0% (2 / 5),100.0% (1 / 1),0.0% (0 / 10),NA% (0 / 0),4.3% (1 / 23),0.0% (0 / 5),0.0% (0 / 16),0.0% (0 / 3),0.0% (0 / 26),0.0% (0 / 4)
M210 ,SP.A.7701,Lys.B.593,Lib.G.5388,1932661,1456119,347337,30812,4.11,114,1.86,20,21.1,5.7-43.7,6.1-45.6,No,13,**44.4% (4 / 9),0.0% (0 / 2),**54.5% (6 / 11),0.0% (0 / 1),16.7% (1 / 6),0.0% (0 / 1),0.0% (0 / 7),NA% (0 / 0),4.5% (1 / 22),0.0% (0 / 2),13.3% (2 / 15),0.0% (0 / 1),9.5% (2 / 21),50.0% (1 / 2)
M210 ,SP.A.7701,Lys.B.594,Lib.G.5389,1545233,1119993,311475,28518,3.11,82,2.32,36.4,31.8,17.2-59.3,13.9-54.9,Yes,18,50.0% (1 / 2),NA% (0 / 0),16.7% (1 / 6),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 1),0.0% (0 / 21),0.0% (0 / 5),0.0% (0 / 11),0.0% (0 / 2),5.9% (1 / 17),0.0% (0 / 8)
M209 ,SP.A.7700,Lys.A.1484,Lib.G.721,1451209,920041,313007,28593,4.36,137,2.93,36.8,18.4,21.8-54.0,7.7-34.3,No,35,40.0% (2 / 5),0.0% (0 / 2),0.0% (0 / 16),0.0% (0 / 6),12.5% (1 / 8),0.0% (0 / 3),0.0% (0 / 5),NA% (0 / 0),**73.1% (19 / 26),**100.0% (3 / 3),5.6% (1 / 18),0.0% (0 / 2),**79.2% (19 / 24),**100.0% (7 / 7)
M208 ,SP.A.7699,Lys.A.1483,Lib.G.720,1479490,925939,319869,21111,6.97,138,7.27,29.8,18.6,17.3-44.9,8.4-33.4,No,36,**72.7% (8 / 11),0.0% (0 / 1),0.0% (0 / 10),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 3),0.0% (0 / 9),0.0% (0 / 1),**42.3% (11 / 26),**80.0% (4 / 5),0.0% (0 / 14),0.0% (0 / 4),**56.5% (13 / 23),**80.0% (4 / 5)
M207 ,SP.A.7698,Lys.A.1482,Lib.G.719,1466575,870979,14208,90,85.14,63,201.84,0,0,0.0-36.9,0.0-15.4,No,0,**100.0% (5 / 5),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),10.5% (2 / 19),NA% (0 / 0)
M206 ,SP.A.7697,Lys.A.1481,Lib.G.718,1727095,1013378,274662,14059,44.95,823,12.39,3.1,1.3,0.8-7.6,0.2-4.7,No,16,**100.0% (75 / 75),100.0% (3 / 3),0.0% (0 / 138),0.0% (0 / 2),0.0% (0 / 88),0.0% (0 / 4),0.0% (0 / 92),0.0% (0 / 3),0.0% (0 / 197),0.0% (0 / 1),0.0% (0 / 107),0.0% (0 / 1),2.7% (5 / 184),0.0% (0 / 6)
M205 ,SP.A.7696,Lys.A.1475,Lib.G.717,1212565,796884,253979,28762,15.09,516,2.1,9.5,5.8,5.0-16.0,2.4-11.6,No,28,**96.9% (62 / 64),66.7% (2 / 3),0.0% (0 / 58),NA% (0 / 0),0.0% (0 / 39),NA% (0 / 0),0.0% (0 / 62),0.0% (0 / 4),0.8% (1 / 125),14.3% (1 / 7),1.2% (1 / 82),33.3% (1 / 3),1.6% (2 / 128),14.3% (1 / 7)
M205 ,SP.A.7696,Lys.A.1475,Lib.G.717,333492,60966,9990,5830,43.01,120,1.23,3.2,0,0.1-16.7,0.0-11.2,No,1,**100.0% (24 / 24),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 19),NA% (0 / 0),0.0% (0 / 31),0.0% (0 / 1),0.0% (0 / 23),NA% (0 / 0),2.4% (1 / 41),0.0% (0 / 1)
M204 ,SP.A.7695,Lys.A.1474,Lib.G.716,1787767,1184651,411281,36395,1.9,80,1.69,25,25,8.7-49.1,9.8-46.7,No,15,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 2),7.1% (1 / 14),0.0% (0 / 2),0.0% (0 / 9),0.0% (0 / 1),11.8% (2 / 17),0.0% (0 / 4)
M203 ,SP.A.7694,Lys.A.1473,Lib.G.715,1512988,976765,346771,31583,4.08,149,2.27,29.6,39.5,13.8-50.2,24.0-56.6,Yes,38,**66.7% (6 / 9),0.0% (0 / 1),0.0% (0 / 18),0.0% (0 / 1),0.0% (0 / 9),0.0% (0 / 3),0.0% (0 / 13),0.0% (0 / 4),4.8% (1 / 21),0.0% (0 / 3),0.0% (0 / 15),0.0% (0 / 6),5.0% (1 / 20),0.0% (0 / 6)
M203 ,SP.A.7694,Lys.A.1473,Lib.G.715,193048,30643,5810,4028,7.32,9,1,33.3,20,0.8-90.6,0.5-71.6,No,3,NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),25.0% (1 / 4),0.0% (0 / 1)
M202 ,SP.A.7693,Lys.A.1472,Lib.G.714,186656,35853,6422,4435,8.47,10,1,20,0,0.5-71.6,0.0-84.2,No,2,50.0% (1 / 2),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),0.0% (0 / 1)
M202 ,SP.A.7693,Lys.A.1472,Lib.G.714,1660629,1146215,379592,34027,5.38,213,2.07,32.7,14.8,19.9-47.5,6.6-27.1,No,34,**94.1% (16 / 17),**75.0% (3 / 4),6.7% (1 / 15),0.0% (0 / 2),0.0% (0 / 11),0.0% (0 / 3),0.0% (0 / 21),0.0% (0 / 6),2.0% (1 / 49),0.0% (0 / 6),0.0% (0 / 25),0.0% (0 / 4),0.0% (0 / 42),0.0% (0 / 8)
M201 ,SP.A.7692,Lys.A.1471,Lib.G.713,171864,28188,5469,3833,12.9,12,1.08,16.7,25,0.4-64.1,0.6-80.6,No,2,**100.0% (3 / 3),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),33.3% (1 / 3),NA% (0 / 0)
M201 ,SP.A.7692,Lys.A.1471,Lib.G.713,1595922,1042361,366517,31953,6.06,207,2.07,30.4,25,17.7-45.8,14.4-38.4,Yes,49,**82.4% (14 / 17),50.0% (2 / 4),0.0% (0 / 18),0.0% (0 / 3),13.3% (2 / 15),0.0% (0 / 5),0.0% (0 / 10),NA% (0 / 0),11.1% (4 / 36),18.2% (2 / 11),0.0% (0 / 17),0.0% (0 / 2),17.5% (7 / 40),0.0% (0 / 8)
M201 ,SP.A.7692,Lys.A.1471,Lib.G.2765,3815898,3125853,832502,29447,10.96,269,5.23,34.8,15.3,23.7-47.2,7.9-25.7,No,52,**100.0% (32 / 32),**100.0% (11 / 11),4.5% (1 / 22),16.7% (1 / 6),0.0% (0 / 19),0.0% (0 / 6),0.0% (0 / 22),0.0% (0 / 6),12.5% (6 / 48),25.0% (2 / 8),2.3% (1 / 43),0.0% (0 / 7),13.1% (8 / 61),12.5% (1 / 8)
M200 ,SP.A.7691,Lys.A.1470,Lib.G.712,1627559,1076452,384090,29654,6.41,204,3.16,32,12.2,19.5-46.7,4.6-24.8,No,35,**94.7% (18 / 19),0.0% (0 / 1),7.1% (1 / 14),0.0% (0 / 1),0.0% (0 / 10),0.0% (0 / 2),0.0% (0 / 20),0.0% (0 / 7),7.3% (3 / 41),11.1% (1 / 9),0.0% (0 / 30),0.0% (0 / 11),0.0% (0 / 39),0.0% (0 / 6)
M199 ,SP.A.7690,Lys.A.1469,Lib.G.711,1596485,1042714,370212,33732,6.51,265,2.21,30.6,12.3,20.2-42.5,5.1-23.7,No,43,**96.6% (28 / 29),**75.0% (3 / 4),0.0% (0 / 23),0.0% (0 / 5),8.3% (1 / 12),0.0% (0 / 3),0.0% (0 / 20),0.0% (0 / 4),3.8% (2 / 52),0.0% (0 / 8),3.0% (1 / 33),0.0% (0 / 5),0.0% (0 / 50),0.0% (0 / 10)
M198 ,SP.A.7689,Lys.A.1468,Lib.G.710,1597551,1015585,345762,25742,16.77,471,5.53,35.4,10.8,27.2-44.2,6.0-17.4,No,85,**98.1% (51 / 52),**100.0% (8 / 8),0.0% (0 / 31),NA% (0 / 0),0.0% (0 / 34),0.0% (0 / 3),5.3% (2 / 38),0.0% (0 / 2),0.0% (0 / 92),0.0% (0 / 10),1.4% (1 / 72),0.0% (0 / 14),0.0% (0 / 105),0.0% (0 / 17)
M197 ,SP.A.7688,Lys.A.1467,Lib.G.709,1656214,1139467,367672,38642,5.51,298,1.57,38.2,16.4,26.7-50.8,8.8-27.0,No,53,9.1% (2 / 22),0.0% (0 / 3),14.3% (3 / 21),25.0% (1 / 4),**31.2% (5 / 16),50.0% (1 / 2),0.0% (0 / 36),0.0% (0 / 4),17.0% (9 / 53),33.3% (3 / 9),0.0% (0 / 43),0.0% (0 / 9),**38.8% (26 / 67),30.0% (3 / 10)
M197 ,SP.A.7688,Lys.A.1467,Lib.G.709,197403,40380,7519,5244,5,8,1,33.3,0,0.8-90.6,0.0-60.2,No,1,0.0% (0 / 2),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),33.3% (1 / 3),0.0% (0 / 1),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0)
M196 ,SP.A.7687,Lys.A.1466,Lib.G.705,1662779,1114320,378468,33037,3.11,116,1.86,34.5,25,17.9-54.3,11.5-43.4,Yes,28,50.0% (1 / 2),NA% (0 / 0),25.0% (1 / 4),33.3% (1 / 3),**54.5% (6 / 11),33.3% (1 / 3),0.0% (0 / 11),0.0% (0 / 2),**46.2% (6 / 13),100.0% (1 / 1),0.0% (0 / 19),0.0% (0 / 5),**34.8% (8 / 23),**50.0% (3 / 6)
M196 ,SP.A.7687,Lys.A.1466,Lib.G.705,140407,26646,5894,4158,0,0,NA,NA,NA,NA,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0)
M196 ,SP.A.7687,Lys.A.1466,Lib.G.2764,2496590,2008665,635664,60768,93.91,31614,3.55,1.1,0.4,0.9-1.4,0.2-0.5,No,275,**99.5% (3884 / 3902),**100.0% (41 / 41),3.7% (139 / 3794),2.7% (1 / 37),0.0% (0 / 2409),0.0% (0 / 20),0.1% (3 / 3598),3.3% (1 / 30),0.1% (6 / 7298),0.0% (0 / 61),0.1% (3 / 5419),0.0% (0 / 29),1.4% (128 / 9211),4.2% (3 / 71)
M196 ,SP.A.7687,Lys.B.584,Lib.G.5379,345481,255509,64971,18113,0,0,NA,NA,NA,NA,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0)
M196 ,SP.A.7687,Lys.B.585,Lib.G.5380,1249304,947261,253685,28140,4.99,141,1.52,46.7,39.3,28.3-65.7,21.5-59.4,Yes,32,40.0% (2 / 5),50.0% (1 / 2),7.7% (1 / 13),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 3),0.0% (0 / 8),NA% (0 / 0),**56.2% (9 / 16),**83.3% (5 / 6),0.0% (0 / 22),0.0% (0 / 6),**62.5% (10 / 16),100.0% (2 / 2)
M196 ,SP.A.7687,Lys.B.586,Lib.G.5381,1673914,1243833,317459,29709,6.09,211,1.87,45.2,25.6,29.8-61.3,13.5-41.2,Yes,47,9.1% (1 / 11),0.0% (0 / 2),0.0% (0 / 18),0.0% (0 / 2),7.1% (1 / 14),0.0% (0 / 5),0.0% (0 / 14),0.0% (0 / 3),**80.0% (24 / 30),**100.0% (4 / 4),0.0% (0 / 19),0.0% (0 / 1),**81.2% (39 / 48),**100.0% (5 / 5)
M196 ,SP.A.7687,Lys.B.587,Lib.G.5382,3081039,2427688,671674,36451,3.42,131,1.92,48.6,21.4,31.4-66.0,8.3-41.0,No,32,**50.0% (3 / 6),NA% (0 / 0),6.7% (1 / 15),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 3),**52.4% (11 / 21),37.5% (3 / 8),0.0% (0 / 21),0.0% (0 / 3),**73.1% (19 / 26),**100.0% (3 / 3)
M196 ,SP.A.7687,Lys.B.588,Lib.G.5383,3881043,3012098,854486,36344,3.33,130,2.03,47.1,25,29.8-64.9,10.7-44.9,Yes,31,25.0% (2 / 8),0.0% (0 / 1),0.0% (0 / 10),0.0% (0 / 2),22.2% (2 / 9),0.0% (0 / 2),0.0% (0 / 9),0.0% (0 / 2),**52.6% (10 / 19),**50.0% (3 / 6),0.0% (0 / 17),0.0% (0 / 2),**54.5% (12 / 22),25.0% (1 / 4)
M195 ,SP.A.7686,Lys.A.1465,Lib.G.704,1506404,1007842,346156,30862,4.56,164,2.6,40.5,17,25.6-56.7,7.6-30.8,No,37,**75.0% (9 / 12),0.0% (0 / 2),11.8% (2 / 17),33.3% (1 / 3),14.3% (2 / 14),100.0% (2 / 2),0.0% (0 / 14),0.0% (0 / 1),**25.0% (8 / 32),**50.0% (3 / 6),0.0% (0 / 21),0.0% (0 / 3),**29.6% (8 / 27),**57.1% (4 / 7)
M194 ,SP.A.7685,Lys.A.1464,Lib.G.703,1479847,1012571,331200,30541,4.6,172,2.71,39.2,20,25.8-53.9,10.0-33.7,No,46,0.0% (0 / 11),0.0% (0 / 1),0.0% (0 / 14),0.0% (0 / 4),0.0% (0 / 15),0.0% (0 / 4),0.0% (0 / 7),0.0% (0 / 3),**94.7% (18 / 19),**100.0% (4 / 4),0.0% (0 / 16),0.0% (0 / 5),**83.3% (30 / 36),**87.5% (7 / 8)
M194 ,SP.A.7685,Lys.A.1464,Lib.G.703,118290,23288,4534,3305,12.63,12,1.08,33.3,20,0.8-90.6,0.5-71.6,No,4,0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),**100.0% (3 / 3),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),100.0% (2 / 2),100.0% (1 / 1)
M193 ,SP.A.7684,Lys.A.1463,Lib.G.702,1296163,833507,277721,22002,7.42,176,5.65,43.5,29.4,28.9-58.9,17.5-43.8,Yes,46,0.0% (0 / 13),0.0% (0 / 3),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 17),0.0% (0 / 5),0.0% (0 / 14),0.0% (0 / 2),**82.4% (14 / 17),**80.0% (4 / 5),0.0% (0 / 26),0.0% (0 / 8),**89.7% (26 / 29),**83.3% (5 / 6)
M192 ,SP.A.7683,Lys.A.1462,Lib.G.701,1257459,768571,243585,22648,29.28,966,4.34,32.6,15.4,26.4-39.2,11.1-20.5,Yes,173,**40.7% (33 / 81),0.0% (0 / 10),2.1% (2 / 97),7.7% (1 / 13),0.0% (0 / 66),0.0% (0 / 10),1.3% (1 / 79),0.0% (0 / 15),**51.1% (70 / 137),**100.0% (15 / 15),0.0% (0 / 134),0.0% (0 / 19),**58.2% (110 / 189),**100.0% (27 / 27)
M191 ,SP.A.7682,Lys.A.1461,Lib.G.700,1700973,1036418,348856,22057,7.87,183,6.47,18.5,14.6,9.3-31.4,5.6-29.2,No,25,**75.0% (12 / 16),0.0% (0 / 3),0.0% (0 / 15),0.0% (0 / 1),0.0% (0 / 11),0.0% (0 / 1),0.0% (0 / 25),0.0% (0 / 1),**26.5% (9 / 34),0.0% (0 / 1),0.0% (0 / 26),0.0% (0 / 4),14.0% (6 / 43),**50.0% (3 / 6)
M190 ,SP.A.7681,Lys.A.1460,Lib.G.699,1482054,1022408,337582,35351,1.31,44,1.27,27.3,33.3,6.0-61.0,0.8-90.6,No,6,**60.0% (3 / 5),100.0% (1 / 1),50.0% (1 / 2),100.0% (1 / 1),100.0% (1 / 1),100.0% (1 / 1),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0)
